Account,classification,total_pnl,avg_pnl_per_trade,win_rate_pct,total_volume_usd,trade_count
0x083384f897ee0f19899168e3b1bec365f52a9012,Extreme Fear,124769.22,1247.69,37.0,1507100.86,100
0x083384f897ee0f19899168e3b1bec365f52a9012,Extreme Greed,-40282.34,-42.63,6.67,11415855.67,945
0x083384f897ee0f19899168e3b1bec365f52a9012,Fear,1113373.55,626.19,52.64,30262439.89,1778
0x083384f897ee0f19899168e3b1bec365f52a9012,Greed,276719.27,482.09,16.03,8686990.84,574
0x083384f897ee0f19899168e3b1bec365f52a9012,Neutral,125650.12,298.46,58.19,9824876.71,421
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Extreme Fear,-4235.15,-24.91,30.0,366532.65,170
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Extreme Greed,35658.89,43.22,57.7,1523508.3,825
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Fear,-1658.74,-0.63,47.83,2573742.54,2622
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Greed,30053.4,10.21,40.16,6487032.05,2943
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Neutral,-11933.08,-16.57,36.11,1084672.12,720
0x271b280974205ca63b716753467d5a371de622ab,Extreme Fear,16706.88,20.96,37.64,4886973.24,797
0x271b280974205ca63b716753467d5a371de622ab,Extreme Greed,1793.16,358.63,80.0,159708.3,5
0x271b280974205ca63b716753467d5a371de622ab,Fear,30121.91,16.13,38.22,13491850.52,1868
0x271b280974205ca63b716753467d5a371de622ab,Greed,-100019.81,-185.22,24.44,10486688.13,540
0x271b280974205ca63b716753467d5a371de622ab,Neutral,-19038.34,-31.78,0.0,4848220.23,599
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Extreme Fear,-25666.01,-44.71,28.75,463208.61,574
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Extreme Greed,108009.96,14.44,44.45,3277267.08,7481
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Fear,13422.52,9.59,43.03,917809.07,1399
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,31192.59,10.5,44.85,1489279.85,2970
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Neutral,5505.75,6.21,46.67,609457.49,887
0x2c229d22b100a7beb69122eed721cee9b24011dd,Extreme Fear,11415.25,101.92,68.75,277460.03,112
0x2c229d22b100a7beb69122eed721cee9b24011dd,Extreme Greed,90895.05,61.5,48.78,5039569.4,1478
0x2c229d22b100a7beb69122eed721cee9b24011dd,Fear,3979.19,10.44,43.31,584523.86,381
0x2c229d22b100a7beb69122eed721cee9b24011dd,Greed,20075.67,79.35,54.15,1022433.76,253
